"id","code","name","level"
"3","A0101","Smartphone","3"
"4","A0102","Handphone Basic","3"
"6","A0201","Tablet Dengan Telepon","3"
"7","A0202","Tablet Tanpa Telepon","3"
"9","A0301","Phablet","3"
"10","A0302","Aksesoris Phablet","3"
"11","A030201","Kabel","4"
"12","A030202","Sarung & Pelindung","4"
"13","A030203","Pelindung Layar","4"
"14","A030204","Aksesoris Phablet Lainnya","4"
"16","A0401","Kabel","3"
"17","A0402","Sarung & Pelindung","3"
"18","A0403","Pelindung Layar","3"
"19","A0404","Aksesoris Mobil","3"
"20","A040401","Car Holder","4"
"21","A040402","Kabel Aux","4"
"22","A040403","Skintack","4"
"23","A0405","Smart Watch","3"
"24","A040501","Pria","4"
"25","A040502","Wanita","4"
"27","A0501","Kabel Aux","3"
"28","A0502","Sarung & Pelindung","3"
"29","A0503","Pelindung Layar","3"
"30","A0504","Aksesoris Tablet Lainnya","3"
"32","A0601","Baterai","3"
"33","A0602","Charger","3"
"34","A0603","Power Bank","3"
"35","A0604","Charger Mobil","3"
"37","A0701","Modem Wi-Fi","3"
"38","A0702","Modem USB","3"
"40","A0801","Telepon Kabel & Nirkabel","3"
"42","A0901","Kartu Prabayar","3"
"45","B0101","Televisi","3"
"46","B010101","TV LED","4"
"47","B010102","TV LCD","4"
"48","B010103","TV Plasma","4"
"49","B010104","Smart TV","4"
"50","B010105","TV 3D","4"
"51","B010106","TV CRT","4"
"52","B0102","Blu-Ray & DVD Player","3"
"53","B010201","Blu-Ray Player","4"
"54","B010202","DVD Player","4"
"55","B010203","Media Player","4"
"56","B0103","Home Theater","3"
"57","B010301","Home Theater Set","4"
"58","B010302","Soundbar","4"
"59","B010303","Amplifier","4"
"60","B010304","AV Receiver","4"
"61","B010305","Speaker","4"
"62","B0104","Aksesoris TV & Video","3"
"63","B010401","Kabel Aux","4"
"64","B010402","Stabilizer","4"
"65","B010403","Remote Control","4"
"66","B010404","Kacamata Video","4"
"67","B010405","Internet Add-on untuk TV","4"
"68","B010406","Bracket Dinding TV","4"
"70","B0201","Home Audio","3"
"71","B020101","Karaoke","4"
"72","B020102","Radio FM","4"
"73","B020103","Turntable","4"
"74","B020104","Perekam Suara","4"
"75","B020105","CD Player","4"
"76","B0202","Headphone","3"
"77","B020201","Bluetooth","4"
"78","B020202","Over-The-Ear","4"
